fecha_snapshot,pedido,plan_slot,contenedor_id,fecha_primer_movimiento,plan_llegada_grupasa,bodega,hora_descarga,comentario_plan_grupasa,tipo_asignacion
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,1,BMOU6903401,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,2,BMOU6954733,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,3,CAAU5528160,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,4,CAIU4773232,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,5,CAIU7355473,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,6,CAIU8711732,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,7,CXDU2149308,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,8,DFSU7790298,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,9,DRYU9385816,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,10,FCIU7382456,2026-03-10,2026-03-13,CAMPO CHINO,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,11,FFAU1563001,2026-03-10,2026-03-13,CAMPO CHINO,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,12,FFAU2265378,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,13,FFAU3505513,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,14,GAOU7436086,2026-03-10,2026-03-13,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,15,MEDU9369775,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,16,MSBU7425720,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,17,MSCU5239951,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,18,MSCU5332133,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,19,MSDU5603687,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,20,MSDU6533223,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,21,MSDU6841015,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,22,MSDU6895114,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,23,MSDU7528160,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,24,MSDU8922250,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,25,MSMU4036651,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,26,MSMU4189310,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
2026-05-20,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,27,MSMU4933572,2026-03-10,2026-03-15,PLANTA PRINCIPAL,,,persistida
