contenedor_id,pedido,parcial,bl,naviera,tipo_contenedor,puerto,fecha_arribo_gye,fecha_salida_autorizada,fecha_cas,deposito_vacio,fecha_arribo,fecha_descarga_planificada,bodega,fecha_plan_devolucion_vacio,status_actual,tipo_incidencia,comentario,fecha_snapshot
BMOU5503951,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
CAAU7523717,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
DFSU6595086,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
DRYU9712729,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
FDCU0091063,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
HNSU5026296,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MEDU4779458,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSBU5084265,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSBU7111293,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSBU7536997,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSBU7544539,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSCU5148698,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSDU5915197,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSDU8264550,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSDU8560547,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
MSMU6920002,8000215 P1 FSC GG,RE-54392,MEDUYK536520,MSC,40,RE-54392,2026-02-14,2026-02-19,2026-03-06,MEDLOG,2026-02-21,2026-03-05,CAMPO CHINO,2026-03-05,EN PUERTO,,,2026-04-03
