contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
1,AMCU9321405,SPLIT 0008000189 P4 FSC GE,,CMA CGM,TPG,DEPCONSA
2,AMCU9327044,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
3,APRU6140475,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
4,ASDFH,ASD123,,HALO,TPG,RFS
5,ASDFK,ASD123,,HALO,TPG,RFS
6,ASJGG,ASID234,,MSC,NAPORTEC,RFS
7,ASJHH,ASID235,,MAERSK,POSORJA,RFS
8,BEAU4546384,ALMIDON 5700011000 P2,,HALO,TPG,TERCON
9,BEAU4549070,8000271 P1 FSC GE,RE-05719,HALO,RE-05719,TPG
10,BEAU5823631,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
11,BEAU5937341,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
12,BEAU6304667,8000233 P2 FSC GG,,MAERKS,TPG,OPACIFIC
13,BMOU4521668,8000186 P1 GE KLABIN,,ZIM,CONTECON,CONTECON
14,BMOU4603719,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
15,BMOU4974448,ALMIDON 5700011000 P2,,HALO,TPG,TERCON
16,BMOU5503951,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
17,BMOU5934326,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
18,BMOU5969180,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
19,BMOU6563430,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
20,BMOU6570044,8000149 P10 - 5700011051 P3 FSC GE,,MSC,NAPORTEC,MEDLOG
21,BMOU6684896,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
22,BMOU6690585,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
23,BMOU6787981,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
24,BMOU6903401,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
25,BMOU6940555,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
26,BMOU6954733,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
27,BMOU9248200,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
28,BMOU9329621,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
29,BMOU9350193,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
30,BMOU9351590,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
31,BMOU9624524,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
32,BMOU9628406,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
33,BMOU9897679,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
34,BSIU8298964,8000271 P1 FSC GE,RE-05719,HALO,RE-05719,TPG
35,BSIU9594765,5700011064 P6 GE ARCLAD,,HALO,TPG,BLASTI
36,CAAU4558670,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
37,CAAU4583733,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
38,CAAU4720477,ALMIDÓN 5700011000 P1,,MAERKS,CGSA,OPACIFIC
39,CAAU4722989,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
40,CAAU4726135,8000228 P1 FSC GE,,MAERKS,TPG,OPACIFIC
41,CAAU4895135,ALMIDÓN 5700011000 P1,,MAERKS,CGSA,OPACIFIC
42,CAAU5002849,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
43,CAAU5081107,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
44,CAAU5114638,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
45,CAAU5369840,8000188 P1 FSC GE,,HALO,TPG,TERCON
46,CAAU5519702,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
47,CAAU5528160,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
48,CAAU5658204,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
49,CAAU5814267,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
50,CAAU6508889,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
51,CAAU6822631,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
52,CAAU6849226,8000211 P3 FSC GE,,MAERKS,TPG,OPACIFIC
53,CAAU7081791,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
54,CAAU7091700,8000236 P3 FSC GG,RE-03886,CMACGM,CGSA,BLASTI
55,CAAU7121805,8000213 P3 FSC GE,,MSC,TPG,MEDLOG
56,CAAU7121940,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
57,CAAU7177532,8000233 P3 FSC GG,,MAERKS,TPG,OPACIFIC
58,CAAU7323088,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
59,CAAU7331273,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
60,CAAU7340362,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
61,CAAU7357067,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
62,CAAU7503310,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
63,CAAU7523717,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
64,CAAU7529206,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
65,CAAU7534352,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
66,CAAU7590865,8000228 P1 FSC GE,,MAERKS,TPG,OPACIFIC
67,CAAU7827345,8000236 P3 FSC GG,RE-03886,CMACGM,CGSA,BLASTI
68,CAAU7849621,8000190 P2 FSC GE,,MAERKS,TPG,OPACIFIC
69,CAAU7887658,8000211 P3 FSC GE,,MAERKS,TPG,OPACIFIC
70,CAAU8098422,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
71,CAAU8149068,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
72,CAAU8177239,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
73,CAAU8182852,5700011067 P1  FSC GE,,MSC,TPG,MEDLOG
74,CAAU8210851,8000198 P5 FSC GE,RE-03838,HALO,RE-03838,TERCON
75,CAAU8616394,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
76,CAAU8629792,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
