issue_type,fecha_snapshot,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio,fecha_arribo_gye,fecha_salida_autorizada,fecha_arribo,fecha_cas,plan_llegada_grupasa,bodega,hora_descarga,comentario_plan_grupasa,plan_slot_grupasa,tipo_asignacion_grupasa,plan_llegada_patio,plan_devolucion_vacio,comentario_plan_galagans,status_actual,horario_entrega_real,tipo_incidencia,comentario_status,alerta_cas,cas_vencido,dias_puerto_a_patio,dias_patio_a_bodega,dias_bodega_a_deposito,cumplimiento_grupasa,cumplimiento_galagans
cas_antes_salida_autorizada,2026-03-27,SMLU3138557,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
cas_antes_salida_autorizada,2026-03-27,SMLU7867243,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
plan_grupasa_antes_retiro_puerto,2026-03-27,SMLU3138557,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
plan_grupasa_antes_retiro_puerto,2026-03-27,SMLU7867243,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
sin_fecha_arribo_gye,2026-03-27,SMLU3138557,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
sin_fecha_arribo_gye,2026-03-27,SMLU7867243,5700011203 / 5700011204,,,CGSA,RFS,,2026-02-27,2026-02-28,2026-02-03,2026-02-03,BODEGA SIERRA,,,,directa_hoja,2026-02-28,2026-03-02,,DEVUELTO DEPOSITO VACIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,1.0,,,PENDIENTE,CUMPLE
sin_plan_llegada_grupasa,2026-03-27,AMCU9327044,8000239 P1 FSC GE,RE-04663,CMA CGM,TPG,BLASTI,2026-03-12,2026-03-16,2026-03-19,2026-04-01,,,,,,directa_hoja,2026-03-19,,,EN PATIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,7.0,,,SIN_PLAN,CUMPLE
sin_plan_llegada_grupasa,2026-03-27,APRU6140475,8000239 P1 FSC GE,RE-04663,CMA CGM,TPG,BLASTI,2026-03-12,2026-03-16,2026-03-19,2026-04-01,,,,,,directa_hoja,2026-03-19,,,EN PATIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,7.0,,,SIN_PLAN,CUMPLE
sin_plan_llegada_grupasa,2026-03-27,BEAU5937341,8000236 P4 FSC GE,RE-04220,MSC,NAPORTEC,MEDLOG,2026-03-20,2026-03-23,2026-03-26,2026-04-09,,,,,,directa_hoja,2026-03-26,,,EN PATIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,6.0,,,SIN_PLAN,CUMPLE
sin_plan_llegada_grupasa,2026-03-27,BMOU4603719,8000236 P1 FSC GE,RE-03395,MSC,NAPORTEC,MEDLOG,2026-03-20,2026-03-24,2026-03-25,2026-04-09,,,,,,directa_hoja,2026-03-25,,,EN PATIO,,SIN NOVEDAD,Inferido desde inventario historico,False,False,5.0,,,SIN_PLAN,CUMPLE
